Vending Machine ( TID ),Vending Machine (Serial No.),District,Company Name,"Location ( Floor, Gate No. etc)",Snack/Coffee,Machine Manufacturer
2302384771251206,000005702,Dammam,Electrical Company,Reception,Snack,Easy Combo
2302303971251147,000005878,Dammam,Mouwasat Hospital,New Building 1st Floor,Snack,Easy Combo
2302303871251146,000005870,Dammam,Mouwasat Hospital,Emergency,Snack,Easy Combo
2302382371251128,000004240,Khobar,Maghribi,Ground Floor,Coffee,Easy Combo
2302382271251127,000004210,Khobar,Hugayet Tower,Basement,Snack,Easy Combo
2302382171251126,000004234,Jubail,ALNADI (FANATEER SPORTS CLUB),RECEPTION,Coffee,Easy Combo
2376508700045693,EC74178,RAS AL-KHAIR,Maaden Company,Cru Building,Snack,Easy Combo
x`,000004201,Dammam,Mouwasat Hospital,New Building 1st Floor,Coffee,Easy Combo
2302380971251114,000004210,Khobar,Al Zamil company industrial,Reception,Coffee,Easy Combo
2302380871251113,00000,Dammam, SAL ACCEPTANCE RECEPTION AREA,Reception,Snack,Easy Combo
2302380671251111,EC7001443,Dammam, SAL Zakat tax and custom authority,Reception,Snack,Easy Combo
2302380571251110,EC7001454,Jubail,Mouwasat Hospital,Building 2,Snack,Easy Combo
2376519600045802,EC7001442,Dammam,Al Zamil company industrial,Reception,Snack,Easy Combo
2376519700045803,EC7001432,Khobar,Al Salam Hospital,Emergency,Snack,Easy Combo
2302380271251107,000005689,Khobar,Al Salam Hospital,Ground Floor,Snack,Easy Combo
2302380171251106,000003437,Dammam, Arabian Spectrum Company / TAFE WOMENS,2ND Floor ,Snack,Easy Combo
2302379771251102,000005684,Qatif,Mouwasat Hospital,2nd Floor,Snack,Easy Combo
2302380071251105,000005399,Khobar,Mouwasat Hospital,Main Reception,Snack ,Easy Combo
2302379871251103,90407011,Dammam,Mouwasat Hospital,Pharmacy Gate 10,Snack, Laventa
2302379971251104,90406911,,WAREHOUSE,,Coffee, Laventa
2302379471251099,90412037,Dammam,Novotel Hotel,Main Lobby,Snack, Laventa
2302378571251090,90412679,Al Hasa,Moosa Hospital,1st Floor Reception,Snack, Laventa
2302379271251097,90406334,Al Hasa,Moosa Hospital,2nd Floor Reception,Snack, Laventa
2302379171251096,90407021,Al Hasa,Moosa Hospital,Emergency,Snack , Laventa
2302379071251095,90406272,Al Hasa,Moosa Hospital,South Building Reception,Snack, Laventa
2302378471251089,90407801,Jubail,SABIC SHARQ ,LAB,Snack, Laventa
