ITEMS NAME,COMPANY PRICE,HOSPITAL PRICE,NOVOTEL PRICE
LAYS YELLOW SALT (25G*14*6)052,2,3,4
LAYS RED CHILI   (25G*14*6)0108,2,3,4
LAYS GREEN SALT VINEGAR  (25G*14*6)053 ,2,3,4
LAYS ORANGE CHEESE (25G*14*6)051,2,3,4
LAYS BLUE KETCHUP (25G*14*6)049,2,3,4
DORITOS ORANGECHEESE(25GM*16*6)050,2,3,4
TASALI RED CHILI (25G*12*6)048,2,3,4
TASALI BLUE KETCHUP(25G*12*6)055,2,3,4
TASALIGREENCUMINLEMON(25G*12*6)0120,2,3,4
STIX RED SALT (8*6*45GM)0117,5,5,6
STIX BLACK HOT & SPICY(8*6*45GM)038,5,5,6
PRINGLES RED ORIGINAL(12*30/40G))0103,5,6,7
PRINGLES BLUE KETCHUP(12*30/40G))0119,5,6,7
PRINGLES BLACK SPICY (12*30/40G)0102,5,6,7
PRINGLES VIOLET BBQ (12*30/40G)0007,5,6,7
HELLO PANDA (6*24*22GM)037,5,6,6
KINDER CHOCOLATE (8*20*50GM)043,6,7,7
RITZ (8*12*39.6GM)029,3,3,4
SNICKERS (12*20*45GM)033,4,5,6
KITKAT (18*36*20GM)036,3,3,4
MALTEASERS (25*37GM)0009,5,6,6
TWIX (10*24*50GM)044,4,5,5
LOACKER VANILLA (6*25*25GM)0109,3,3,4
LOACKER CHOCOLATE (6*25*25GM)0030,3,3,4
BOUNTY (12*24*57GM)034,4,5,5
OREO BISCUIT VANIL(12*12*36.8GM)028,2,4,5
SIPP GREEN 8*20*5GM 081,1,2,3
GODIVA BLUE CREAMY CHOCO(6*24*35GM)0153,5,5,5
BISKREM 32*12*36GM  0156,2,2,2
KINDER BUENO 4*30*43GM - Ctn,5,5,5
GODIVA RED DOUBLE CHOCOLATE(6*24*35GM)0179,5,5,5
AQUAFINA WATER (40*330ML)045,2,3,5
PEPSI CaN (30*240ML)010,3,4,10
7UP CAN(30*240ML)013,3,4,10
MOUNTAIN DEW CAN(30*240ML)014,3,4,10
MIRINDA ORANGE CAN (30*240ML)012,3,4,10
MIRINDA CITRUS(30*240ML)011,3,4,10
VIMTO (24*250ML)008,3,4,6
CODE RED (30*185ML)071,5,6,7
KDD ORANGE (24*180ML)020,3,3,5
KDD APPLE (24*180ML))021,3,3,5
KDD MANGO (24*180ML)018,3,3,5
KDD COCKTAIL (24*180ML)019,3,3,5
ALMARAI CHOCOLATE (18*150ML) 0154,3,3,3
ZOI ICE TEA BERRY 24*320ML 0157,5,5,5
ZOI ICE TEA LEMON MINT 24*320ML 0161,5,5,5
ZOI ICE TEA MANGO 24*320ML 162,5,5,5
ZOI ICE TEA PEACH 24*320ML 0163,5,5,5
ZOI ICE TEA TROPICAL 24*320ML 0164,5,5,5
MOVENPICK CAPPUCINO 10X1 0165,15,15,15
MOVENPICK MACHIATO 10X1 0166,15,15,15
MOVENPICK ESPRESSO 10X1 0167,15,15,15
VANILLA CAKE 45X1 0168,5,5,5
BROWNIE CAKE 45X1 0169,5,5,5
CHOCOLATE CAKE 45X1 0170,5,5,5
LEMON CAKE 45X1 0171,5,5,5
